Marca temporal,"Edad (no obligatorio, solo fines educativos)",De acuerdo a su experiencia previa. ¿Con que área te sientes identificada/o?,Mencione un aspecto que desee profundizar/complementar en el curso de computación estadística,"En caso que exista la opción de realizar la clase de forma online, que te acomoda?",Hace cuanto (en años) fue su última evaluación/prueba/test?
21/3/2023 5:56:37,43,Educación,Quisiera aprender a utilizar R,Online,1
21/3/2023 8:26:24,33,"Finanzas y negocios (Banca, servicios financieros, etc)",Keras/tensorflow,Online,2
21/3/2023 8:44:53,26,"Tecnología y software (TI, sitemas, etc)","Uso eficiente de las capacidades del PC (ram, gpu)",Online,3
21/3/2023 10:09:17,36,"Tecnología y software (TI, sitemas, etc)",Confío en el profesor.,No sé,0 años
21/3/2023 10:49:38,29,Educación,"Markdown, webscraping",Presencial,2020
21/3/2023 11:04:11,28,"Ciencias y tecnología (Investigación, salud)",Manejo en R,Online,5
21/3/2023 11:23:41,40,Medio Ambiente/Minería,Rmarkdown,Online,2022
21/3/2023 12:00:14,28,"Finanzas y negocios (Banca, servicios financieros, etc)","Georeferenciación, web scrapping y creación de paquetes estadísticos",Online,4 y 2 si considero las pruebas para entrar a trabajar
21/3/2023 12:05:40,35,"Tecnología y software (TI, sitemas, etc)",Herramientas de dahsboard y de georreferenciación,Online,8
21/3/2023 12:11:29,26,Matemáticas ,Imputación de datos faltantes ,Online,1
21/3/2023 12:45:29,41,Producción,"Métodos de generación de conjuntos de entrenamiento, test y validación.",Online,1
21/3/2023 13:27:05,32,"Finanzas y negocios (Banca, servicios financieros, etc)",Manipulación de datos en R y adicionalmente material complementario de Python,Presencial,1
21/3/2023 13:48:15,30,"Producción acuícola, estudios clínicos veterinarios, y estudios de mercado industria farmacéutica",Loops anidados y RShiny,Online,6
21/3/2023 14:55:50,28,"Ciencias y tecnología (Investigación, salud)",Optimización de algoritmos y manejo de Big Data,Presencial,1
21/3/2023 15:11:52,31,"Finanzas y negocios (Banca, servicios financieros, etc)",Visualización y reporteria,Online,3
21/3/2023 15:51:57,44,Investigación y matemáticas financieras   ,"Visualización  avanzada , wrangling  - Web scraping -series de tiempo ",Online,1 año
21/3/2023 16:24:18,32,Educación,Modelos evaluativos estadísticos como Teoría de respuesta al ítem o teoria clásica en R,Online,1
21/3/2023 16:56:17,28,Educación,"uso de función for, creación aumatizada de  documentos",Presencial,semestre pasado
21/3/2023 19:38:03,36,Medio Ambiente/Minería,Procesos estocasticos y estadistica bayesiana,Online,2
21/3/2023 23:08:49,33,"Ciencias y tecnología (Investigación, salud)",Administracion  y consultas en SQL,No sé,10 años
22/3/2023 8:40:57,34,"Finanzas y negocios (Banca, servicios financieros, etc)",Utilizacion de R en forma practica,Presencial,Hace 6 años
22/3/2023 13:06:13,32,"Finanzas y negocios (Banca, servicios financieros, etc)",Modelos predictivos,Online,3
23/3/2023 21:54:33,22,"Ciencias y tecnología (Investigación, salud)",Optimización,Presencial,0
29/3/2023 17:28:40,27,"Ciencias y tecnología (Investigación, salud)",bioestadística,Online,3